label,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,
0,-2.43966,-2.57796,-2.32723,-1.78644,-0.896717,-0.285218,-0.814063,-1.11791,-1.53657,-1.7348,-2.13863,-2.40187,-2.20229,-2.62071,-2.72138,-1.52923,12108,
