x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
1,5,0.00147056,1.29E-05,1.37164,2.47362
2,5,5.27E-05,1.62E-05,1.42524,2.58076
3,5,0.000578385,1.48E-05,1.34735,2.42599
4,5,-0.00127463,2.05E-05,1.32636,2.3794
5,5,-0.00981288,1.95E-05,1.35635,2.43607
6,5,-0.00395928,1.68E-05,1.26094,2.25287
7,5,-0.00521333,1.30E-05,1.24049,2.19915
8,5,-0.00633404,7.49E-06,1.24959,2.1986
9,5,-0.00805478,2.76E-06,1.28012,2.24866
10,5,-0.00506782,5.51E-07,1.28613,2.26015
11,5,-0.00377936,3.09E-06,1.27898,2.23873
12,5,-0.00513103,4.16E-06,1.23026,2.14821
13,5,0.00797208,6.60E-06,1.21762,2.1411
14,5,-0.000744702,1.66E-05,1.22467,2.17305
15,5,0.00457629,3.28E-05,1.30205,2.30765
16,5,-0.000327119,3.18E-05,1.32985,2.35017
17,5,-0.000186679,2.02E-05,1.36924,2.42428
18,5,0.00350531,1.59E-05,1.35169,2.39878
19,5,-0.000896212,1.44E-05,1.35087,2.40966
20,5,-0.00236729,5.38E-06,1.34694,2.40437
21,5,-0.000861775,8.73E-07,1.36778,2.44819
22,5,-0.000692953,5.72E-07,1.43594,2.57573
0,6,-0.000631948,5.70E-06,1.42604,2.59211
1,6,0.000728293,1.25E-05,1.41227,2.5697
2,6,0.00134429,1.79E-05,1.47371,2.67073
3,6,-1.59E-05,3.14E-05,1.35093,2.42707
4,6,-0.0034014,4.09E-05,1.31735,2.35922
5,6,-0.0107979,3.56E-05,1.32101,2.35946
6,6,-0.0122964,3.75E-05,1.23534,2.18918
7,6,0.00368068,3.29E-05,1.18851,2.08531
8,6,-0.00491679,1.75E-05,1.18454,2.06733
9,6,-0.00867558,5.27E-06,1.20892,2.10828
10,6,-0.00643505,1.10E-06,1.22691,2.1435
11,6,-0.00416675,5.84E-06,1.23142,2.14426
12,6,-0.00231313,1.23E-05,1.20133,2.08249
13,6,-0.00590795,1.95E-05,1.19632,2.09222
14,6,-0.00218014,3.01E-05,1.21875,2.14829
15,6,-0.0047179,4.26E-05,1.31551,2.32555
16,6,-0.00275309,3.95E-05,1.34894,2.3905
17,6,-0.00220985,3.28E-05,1.38511,2.47306
18,6,-0.0023726,3.23E-05,1.37745,2.46635
19,6,-0.00112531,2.22E-05,1.38632,2.48662
20,6,0.00203704,8.85E-06,1.39111,2.49852
21,6,0.00364366,1.76E-06,1.40539,2.53583
22,6,-0.00299091,7.53E-07,1.49758,2.71175
0,7,-0.0132592,7.25E-06,1.48244,2.71976
1,7,-0.0045725,1.72E-05,1.4607,2.68129
2,7,-0.00106714,3.02E-05,1.50953,2.75406
3,7,0.00291064,5.77E-05,1.36282,2.46253
4,7,0.00038421,7.71E-05,1.28462,2.3038
5,7,0.00683994,8.02E-05,1.24418,2.20593
6,7,0.0143203,9.87E-05,1.16344,2.03669
7,7,0.00983362,6.96E-05,1.11629,1.9457
8,7,0.00342128,2.80E-05,1.10366,1.90401
9,7,0.00796334,9.80E-06,1.1085,1.90319
10,7,0.00730761,2.09E-06,1.12555,1.94026
11,7,0.00589929,1.10E-05,1.15747,1.99728
12,7,0.00387376,2.99E-05,1.15292,1.98615
13,7,0.0037041,5.05E-05,1.15098,1.99737
14,7,-0.000536115,6.41E-05,1.18605,2.08043
15,7,-0.00275433,6.64E-05,1.28311,2.26785
16,7,-0.00554268,6.35E-05,1.34688,2.40007
17,7,-0.00925837,5.44E-05,1.39204,2.50295
18,7,-0.0103507,4.80E-05,1.40786,2.53263
19,7,-0.0119351,3.06E-05,1.44076,2.59771
20,7,-0.016855,1.62E-05,1.44989,2.62178
21,7,-0.0235796,4.88E-06,1.47548,2.67851
22,7,-0.0161658,1.05E-06,1.55913,2.84363
0,8,-0.0303385,6.33E-06,1.50291,2.77094
1,8,-0.0320631,2.48E-05,1.49986,2.7749
2,8,-0.0180829,4.64E-05,1.50883,2.78403
3,8,-0.000614304,9.46E-05,1.39622,2.55002
4,8,0.0258703,0.000145721,1.29615,2.34076
5,8,0.0626571,0.000184419,1.17924,2.09993
6,8,0.076407,0.000164182,1.10969,1.94139
7,8,0.0155202,0.000122559,1.06677,1.8502
8,8,0.0529105,6.91E-05,1.02191,1.74528
9,8,0.0705425,1.95E-05,1.01219,1.71354
10,8,0.0581345,3.72E-06,1.03592,1.76259
11,8,0.0375181,2.55E-05,1.08284,1.85639
12,8,0.0228538,7.01E-05,1.09132,1.87371
13,8,0.0157643,0.000109407,1.10479,1.91049
14,8,0.00496083,0.000142407,1.14487,1.99579
15,8,-0.00198156,0.000126957,1.25038,2.19811
16,8,-0.0100911,0.000103104,1.32764,2.36342
