y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
24,14,-1.05483,0.0054258,3.62842,9.11174
24,15,1.20111,0.00738082,1.87615,4.23326
24,16,-0.133444,0.00813149,2.20988,4.98128
24,17,-0.292153,0.005176,1.79171,3.60591
24,18,-1.32211,0.00312216,1.38377,2.61867
24,19,-1.66599,0.00311875,1.80812,3.69357
24,20,0.755318,0.00149427,2.42446,4.6107
24,21,-1.7007,0.00030415,2.12322,3.73599
24,22,0.198123,0.000512721,1.73366,2.83072
25,0,0.188847,0.000383011,1.38422,2.1616
25,1,-1.16523,0.00026683,1.66527,3.10958
25,2,0.0819816,0.000345092,2.13853,4.08145
25,3,-0.879919,0.00108044,2.05496,4.11334
25,4,2.03984,0.00203401,1.45368,3.36701
25,5,-0.492173,0.00160531,2.26944,5.19802
25,6,-0.246282,0.00297578,2.50017,5.90002
25,7,0.286072,0.00178561,1.80595,3.92416
25,8,-0.0171683,0.00113131,2.08978,4.67521
25,9,0.0215169,0.00140474,1.95702,4.49596
25,10,0.831004,0.00411322,1.05137,2.2086
25,11,0.4034,0.00884635,0.811729,1.54071
25,12,1.03008,0.00707147,1.27449,2.8943
25,13,-0.0349899,0.00159545,3.16439,7.5733
25,14,-0.567746,0.00281928,3.7448,8.72685
25,15,0.265279,0.00505364,2.85579,6.47817
25,16,-0.0943824,0.0056012,2.1051,4.85918
25,17,-0.0681732,0.00878629,1.356,2.74877
25,18,0.687337,0.00921713,1.38859,2.76487
25,19,-0.0185205,0.0017917,2.44427,5.21212
25,20,-0.0680371,0.000521941,1.70401,3.04558
25,21,1.04174,0.000380561,1.13305,1.94773
25,22,0.25963,0.000420016,1.01887,1.64782
26,0,-0.74594,0.000511915,0.959901,1.4633
26,1,1.14732,0.000441655,1.07192,1.81531
26,2,-2.24614,0.000352968,1.71356,3.09804
26,3,-0.132969,0.000300816,1.65787,3.23755
26,4,-0.912022,0.00110046,2.61136,5.9917
26,5,-0.455033,0.000466717,2.40389,5.36047
26,6,-0.0202658,0.000679639,4.01226,9.33515
26,7,-0.464376,0.000797614,2.86593,6.58623
26,8,0.428215,0.000378361,2.35955,5.19923
26,9,-0.226529,0.000133424,3.41749,7.66638
26,10,-0.115127,0.000220713,4.13508,9.56244
26,11,-0.13919,0.000300722,4.24968,9.93162
26,12,-1.27556,0.000464725,4.22825,9.94547
26,13,-0.0788589,0.000959774,3.24981,7.57813
26,14,1.47251,0.00345979,1.41789,2.90612
26,15,-0.376783,0.00525564,1.78933,3.6949
26,16,-0.736716,0.0100963,1.9427,4.2381
26,17,1.21933,0.00717543,1.77476,3.8679
26,18,-0.631058,0.00388469,2.59296,5.68656
26,19,-0.222822,0.00189638,2.26411,4.41383
26,20,-0.284327,0.000368638,1.55334,2.63163
26,21,0.34455,0.000537797,1.13119,1.90982
26,22,-1.60734,0.000290846,0.948222,1.53719
27,0,0.165037,0.000684083,0.772081,1.15004
27,1,-1.12778,0.000804527,0.77539,1.1458
27,2,-0.106476,0.0012489,1.01885,1.7074
27,3,-0.186874,0.000457241,1.39351,2.66819
27,4,-0.0131059,0.00148569,1.84961,4.17631
27,5,0.409363,0.000877373,1.70228,3.73825
27,6,-0.129363,0.00040922,2.75657,5.98723
27,7,-0.532654,0.000249858,5.09032,11.4839
27,8,1.10573,0.000189285,4.16118,9.26198
27,9,-0.60413,0.0482894,1.55609,3.16391
27,10,-0.320241,0.00663292,2.29725,4.81899
27,11,-0.160927,0.000215924,3.36282,7.34632
27,12,-0.0266761,0.000600312,2.91356,6.4635
27,13,8.74e-08,0.00105516,2.69758,6.01189
27,14,-2.41498,0.000842316,1.75882,3.70265
27,15,0.921198,0.00257225,1.60919,3.58748
27,16,-0.628388,0.00597318,1.88762,4.12168
27,17,0.165758,0.00452721,2.43703,5.52516
27,18,-0.484755,0.00329535,2.46299,5.40032
27,19,0.257319,0.00296551,1.65786,2.91371
27,20,-0.356292,0.00351079,0.995571,1.55743
27,21,-1.60481,0.00076687,1.13219,1.85744
27,22,1.2078,0.000216619,1.03335,1.63313
28,0,1.0446,0.00113654,0.531428,0.738047
28,1,0.241572,0.00124971,0.626005,0.890483
28,2,-0.0730041,0.0034453,0.62373,0.975465
28,3,-0.0957254,0.00135314,1.02813,1.94592
28,4,-0.720742,0.00163578,1.65211,3.76905
28,5,0.0518676,0.00240275,1.31674,2.89059
28,6,-0.096925,0.00158141,1.63236,3.33397
28,7,0.136745,0.000995692,2.4981,4.91123
28,8,0.570828,0.00145793,1.80934,3.54808
28,9,1.18845,0.019666,1.04448,2.15035
28,10,-0.292914,0.00393013,0.830698,1.41965
28,11,0.0746327,0.000418586,1.50726,2.90822
28,12,-0.0212178,0.000508321,2.77762,6.0649
28,13,-0.0156364,0.000837744,2.44539,5.28059
28,14,1.84,0.000921081,1.34441,2.78003
28,15,-0.632453,0.00236887,1.64319,3.75285
28,16,0.197666,0.00542243,1.61086,3.67523
28,17,0.224483,0.00305149,2.8508,6.41377
28,18,-0.457072,0.00184394,2.49179,5.30759
28,19,0.213551,0.00523773,0.859319,1.2971
28,20,1.26042,0.00626316,0.544927,0.778085
28,21,0.142593,0.00182364,0.863241,1.34442
28,22,1.01579,0.000708063,0.67056,0.996986
29,0,-0.795763,0.000252259,1.02836,1.42333
29,1,-0.795009,0.000630601,0.924473,1.33512
29,2,-0.0132328,0.00205003,0.915646,1.59291
29,3,0.350779,0.00237118,0.780172,1.44106
29,4,1.30869,0.00257518,1.05379,2.36375
29,5,-0.598142,0.00182531,1.59686,3.88563
29,6,-0.01418,0.003224,1.50621,3.18755
29,7,-0.688194,0.00265683,1.19286,2.2037
29,8,-0.503531,0.00485895,0.967337,1.98963
29,9,-0.410379,0.0030819,1.07406,2.27404
29,10,0.192855,0.000719288,1.96332,4.20077
29,11,-0.32739,0.000306072,2.63883,5.74114
29,12,-1.05149,0.0047775,2.07973,4.32304
29,13,0.561195,0.0183305,1.09368,1.98155
29,14,-0.9264,0.00152798,1.79066,3.83713
29,15,0.799556,0.000672555,1.80079,4.09814
29,16,-0.460702,0.00153737,2.27186,5.3164
29,17,-0.83818,0.00133698,2.84278,6.39474
29,18,0.606718,0.00197691,2.00552,3.95573
29,19,-0.971113,0.000736514,1.2669,1.97835
29,20,-1.12187,0.000739024,1.23939,1.90529
29,21,-1.38895,0.000897208,1.20117,1.80434
29,22,-1.23491,0.000478006,1.07638,1.60689
30,0,-1.24489,0.00161612,0.387647,0.468528
30,1,-0.00960114,0.000921004,0.83976,1.1762
30,2,-0.789686,0.00109076,1.32142,2.37197
30,3,-0.0985752,0.00205197,0.950408,1.90536
30,4,0.0627918,0.00122872,1.24493,2.93309
30,5,-0.082534,0.0013262,1.8441,4.57822
30,6,-0.452966,0.00110615,1.87773,4.20407
30,7,0.0802921,0.000691934,1.458,2.93659
30,8,-0.155964,0.00185193,1.3081,2.77686
30,9,0.48657,0.00242543,1.55775,3.48674
30,10,-0.789927,0.000364426,1.78344,3.88872
30,11,1.13156,0.000778033,1.15718,2.25597
30,12,0.265792,0.0207828,0.69835,1.17736
30,13,1.04431,0.0159111,0.553983,0.925733
30,14,-0.319314,0.00162204,1.61809,3.45356
30,15,0.206037,0.00078816,1.85029,4.14728
30,16,-0.466822,0.000697011,2.11533,5.06372
30,17,-0.101158,0.00100577,2.42148,5.51849
30,18,0.651982,0.00127064,1.32478,2.46127
30,19,-0.0533726,0.000979319,0.977712,1.42245
30,20,0.47501,0.0078162,0.760507,1.03381
30,21,0.878683,0.0137632,0.401677,0.504468
30,22,-0.735123,0.00374974,0.460705,0.602892
31,0,2.83287,0.00285714,0.333924,0.387991
31,1,0.444406,0.00404274,0.324295,0.381482
31,2,0.19186,0.00358333,0.661011,1.09623
31,3,-0.929242,0.00150403,1.03199,2.19985
31,4,-1.65245,0.00295162,1.30687,2.65621
31,5,-0.439109,0.00088296,2.12465,5.17285
31,6,-0.115055,0.000637373,2.01683,4.53927
31,7,0.972621,0.000791799,1.14954,2.35217
31,8,-0.247307,0.000836824,1.73979,3.81172
31,9,-0.618461,0.000930342,1.55121,3.42868
31,10,-0.466799,0.00288688,1.16193,2.39834
31,11,0.140301,0.00246064,1.15164,2.28746
31,12,-0.667007,0.00219637,0.951457,1.80152
31,13,-0.148788,0.00243445,1.3457,2.76875
31,14,-0.216036,0.00174462,1.66282,3.61965
31,15,0.849366,0.00359621,1.14705,2.4032
31,16,-0.295742,0.0012244,1.80316,4.21321
31,17,-0.248763,0.00113529,1.86965,4.06166
31,18,-0.766406,0.00211545,1.17298,1.9867
31,19,-0.425559,0.00658835,0.54549,0.63039
31,20,-0.723303,0.00560128,0.544335,0.618564
31,21,-0.439343,0.0078544,0.412963,0.479326
31,22,-0.574489,0.00430627,0.397375,0.48911
32,0,2.67002,0.00328159,0.670776,0.782109
32,1,-1.78073,0.00111436,0.598987,0.736307
32,2,1.01629,0.00437825,0.584489,0.940154
32,3,-0.219264,0.00242166,0.689352,1.50602
32,4,0.0635694,0.000714117,1.22907,2.91966
32,5,-0.482876,0.00104943,1.81567,4.3476
32,6,-0.00203323,0.000431001,1.62192,3.49712
32,7,0.188417,0.000491512,1.67995,3.7098
32,8,0.275696,0.000514308,1.81828,3.96071
32,9,-0.146153,0.000628932,1.93098,4.26506
32,10,0.629327,0.00504632,1.11028,2.41691
32,11,0.30935,0.00872915,0.751005,1.48239
32,12,1.03749,0.0068948,0.970339,1.89809
32,13,0.0977116,0.00186851,1.64438,3.49611
32,14,0.081036,0.00388441,1.2347,2.60951
32,15,0.0340312,0.00175701,1.6846,3.84553
32,16,-0.135335,0.000816729,1.81436,4.28623
32,17,0.0293545,0.00233972,1.29894,2.98487
32,18,-0.515962,0.0199144,0.537506,0.948582
32,19,0.336084,0.0122736,0.45629,0.567402
32,20,-0.565163,0.00491422,0.469993,0.451276
32,21,1.62065,0.011094,0.351606,0.412091
32,22,0.223486,0.00320442,0.582172,0.692382
33,0,-0.61103,0.00312257,0.372323,0.367041
33,1,-3.40979,0.00155254,0.410901,0.461835
33,2,-1.18874,0.00237504,0.836562,1.51782
33,3,-0.0330007,0.00263396,0.748543,1.7226
33,4,0.149842,0.000958501,1.11116,2.59718
33,5,0.677107,0.00116892,1.69543,3.92275
33,6,-1.13695,0.00108459,0.946428,1.94092
33,7,-0.116297,0.00193366,1.33379,2.74023
