y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
5,2,0.0860583,0.000814871,0.882503,1.56666
5,3,0.112284,0.000312629,0.685533,1.09066
5,4,0.0648218,0.00128039,0.599205,0.88262
5,5,0.0543342,0.00509538,0.566403,0.851541
5,6,0.0584094,0.00904159,0.541295,0.866042
5,7,0.0589354,0.0132895,0.478482,0.780017
5,8,0.106074,0.0198277,0.385844,0.606079
5,9,0.137808,0.0299731,0.315459,0.472807
5,10,0.0912541,0.0339711,0.293166,0.411121
5,11,0.0623542,0.031607,0.295727,0.389239
5,12,0.0423277,0.0240904,0.337675,0.442476
5,13,0.0506473,0.0177208,0.394306,0.526999
5,14,0.011881,0.011557,0.453641,0.618876
5,15,-0.0228117,0.00816211,0.504333,0.712511
5,16,-0.0218587,0.00628832,0.565325,0.827508
5,17,-0.0543762,0.00393494,0.656087,0.994365
5,18,-0.100303,0.00137192,0.853349,1.3906
5,19,-0.191461,0.000246881,1.12216,1.96223
5,20,-0.211651,6.1e-05,1.29049,2.36243
5,21,-0.142284,8.33e-05,1.41079,2.69076
5,22,-0.0487346,0.00017916,1.46147,2.85764
6,0,-0.0902962,0.000350337,1.45917,2.86418
6,1,-0.0505778,0.000669017,1.38527,2.72535
6,2,0.0273621,0.000777722,1.13192,2.15774
6,3,0.0438716,0.000346184,0.906029,1.58426
6,4,0.0376683,0.000817108,0.765573,1.22986
6,5,0.0329443,0.00428144,0.677176,1.07703
6,6,0.031146,0.00890121,0.626744,1.05708
6,7,0.0383069,0.0123057,0.54307,0.932158
6,8,0.0478361,0.0185775,0.421308,0.68304
6,9,0.0119233,0.0284446,0.351523,0.547189
6,10,0.0310074,0.0388239,0.30227,0.452819
6,11,0.0240854,0.043529,0.28477,0.413958
6,12,0.0191514,0.044248,0.285403,0.416784
6,13,0.0205937,0.0377305,0.314222,0.471087
6,14,0.0561631,0.0328539,0.320849,0.480688
6,15,0.0588056,0.0297291,0.321953,0.483024
6,16,0.0880512,0.0245054,0.344776,0.5224
6,17,0.0911183,0.0170736,0.382616,0.566136
6,18,0.0984037,0.00782222,0.444282,0.640143
6,19,0.07592,0.00243291,0.521215,0.763707
6,20,0.0742916,0.000394132,0.676156,1.067
6,21,-0.0469769,0.000131192,1.00263,1.78163
6,22,-0.0800183,0.000221396,1.29142,2.45889
7,0,-0.119436,0.000433272,1.26709,2.43318
7,1,-0.145693,0.000570724,1.46674,2.95487
7,2,-0.064279,0.000614823,1.4053,2.83008
7,3,0.0179154,0.00038223,1.14979,2.1761
7,4,0.0436378,0.000556432,0.929434,1.61776
7,5,0.0442883,0.00328387,0.787357,1.33798
7,6,0.0248866,0.00732066,0.735914,1.30132
7,7,0.0260448,0.0111219,0.618635,1.1066
7,8,0.0841509,0.0171926,0.456471,0.766131
7,9,0.0875547,0.0274898,0.368133,0.591749
7,10,0.0611272,0.040394,0.309015,0.485403
7,11,0.0456985,0.0507117,0.278765,0.424376
7,12,0.0103913,0.054127,0.271741,0.409209
7,13,0.0229712,0.0501487,0.284907,0.441327
7,14,0.0569105,0.044663,0.298452,0.476987
7,15,0.0953493,0.0368609,0.312755,0.495039
7,16,0.0710901,0.0285605,0.340937,0.531587
7,17,0.072108,0.0203549,0.374157,0.565882
7,18,0.0513199,0.011267,0.417981,0.610075
7,19,0.059246,0.004663,0.437746,0.603429
7,20,0.0254137,0.00101632,0.508736,0.719024
7,21,-0.155308,0.000169762,0.694599,1.10019
7,22,-0.0879885,0.000294345,0.974397,1.72754
8,0,-0.175859,0.000882084,0.886185,1.60256
8,1,-0.211486,0.000733775,1.24784,2.49933
8,2,-0.059888,0.000658256,1.46583,3.02135
8,3,0.0263667,0.000423541,1.39044,2.78362
8,4,0.0753482,0.000434044,1.1569,2.17216
8,5,0.0526758,0.00232321,1.00188,1.81409
8,6,0.0298275,0.0049737,0.913275,1.67716
8,7,0.0296599,0.00860813,0.730533,1.32988
8,8,0.0627751,0.0137833,0.540456,0.92682
8,9,0.0649027,0.0232858,0.412104,0.661745
8,10,0.0369727,0.0371635,0.334187,0.522026
8,11,0.028922,0.0523357,0.285491,0.440086
8,12,0.0347639,0.0576946,0.269716,0.408026
8,13,0.0076655,0.0456639,0.302667,0.444242
8,14,-0.0170524,0.0346955,0.343476,0.506541
8,15,0.000938775,0.0277063,0.378993,0.570482
8,16,0.0580499,0.0221711,0.403657,0.604851
8,17,0.0493106,0.0138324,0.455648,0.672791
8,18,0.03539,0.00890266,0.490488,0.723884
8,19,0.0354179,0.00452407,0.484837,0.68287
8,20,0.027475,0.00187618,0.47521,0.659818
8,21,-0.0998587,0.000611918,0.458025,0.624723
8,22,-0.0797996,0.000632583,0.606975,0.942914
9,0,0.262563,0.00346613,0.510852,0.856695
9,1,0.170428,0.00149046,0.933003,1.833
9,2,-0.0384038,0.00073086,1.44801,3.01097
9,3,-0.0608309,0.000305149,1.73285,3.60585
