y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
31,11,0.184521,0.000769721,1.28673,2.96914
31,12,0.0994129,0.00119038,1.00867,2.26354
31,13,-0.108166,0.0013595,1.31616,3.0565
31,14,-0.0493895,0.00117085,1.94126,4.56959
31,15,0.10945,0.00156079,1.68512,3.85156
31,16,-0.00587918,0.00191349,1.59827,3.86296
31,17,0.0444705,0.000964039,2.18433,5.72112
31,18,-0.152889,0.00140268,1.71496,4.22194
31,19,-0.203547,0.00368948,0.833439,1.4993
31,20,-0.0797064,0.00580565,0.4854,0.504562
31,21,-0.0661127,0.00850067,0.478765,0.539372
31,22,0.228843,0.00716533,0.459192,0.604594
32,0,0.0150023,0.00215304,0.662748,0.84889
32,1,-0.381655,0.000623584,0.718993,0.908606
32,2,-0.369728,0.0012154,0.732447,0.999014
32,3,0.159024,0.00259079,0.78122,1.38264
32,4,0.594022,0.00185448,0.879969,1.8601
32,5,0.152453,0.000884819,1.48509,3.4519
32,6,-0.00589911,0.000936306,1.76917,3.97636
32,7,-0.168842,0.000473917,1.81081,3.88567
32,8,-0.0712955,0.00038736,2.16198,4.78464
32,9,0.0455765,0.000280163,2.09209,4.8553
32,10,-0.0497512,0.000306394,2.06866,5.06905
32,11,0.150154,0.000559887,1.62771,3.99469
32,12,0.484153,0.00103087,1.30797,3.09336
32,13,0.0884785,0.00116308,1.67198,3.99773
32,14,0.0575168,0.00162123,1.86048,4.43307
32,15,0.17978,0.0019195,1.6844,3.90559
32,16,0.115105,0.0014018,2.17615,5.34996
32,17,-0.140632,0.000920292,2.13132,5.58486
32,18,-0.076467,0.0032387,1.22454,3.05781
32,19,-0.0339224,0.0125838,0.598434,1.23195
32,20,-0.131886,0.0144885,0.461856,0.71656
32,21,-0.169006,0.00768866,0.443911,0.392614
32,22,-0.0651705,0.00574193,0.557132,0.662865
33,0,-0.113919,0.00302025,0.57626,0.671917
33,1,0.336848,0.00131385,0.489058,0.566366
33,2,-0.718686,0.00111636,0.587843,0.762852
33,3,-0.178101,0.00156641,0.895739,1.60958
33,4,-0.456636,0.00106189,1.07897,2.36879
33,5,-0.165034,0.00101866,1.37602,3.0622
33,6,-0.366262,0.00139866,1.35942,2.83653
33,7,-0.177943,0.000852441,1.28495,2.58213
33,8,-0.00366721,0.000697882,1.58605,3.26315
33,9,-0.215485,0.000325307,1.81985,4.04653
33,10,-0.47704,0.000157856,2.25223,5.47648
33,11,-0.0752699,6.5e-05,2.73837,6.85633
33,12,-0.163693,0.00011375,2.68341,6.66249
33,13,-0.0408634,0.000506121,2.61407,6.51025
33,14,0.0076272,0.00120617,2.51487,6.16691
33,15,-0.0101829,0.00127785,2.39306,5.84551
33,16,0.0352324,0.00105295,2.62798,6.50237
33,17,0.119035,0.00118453,2.14136,5.44379
33,18,0.212305,0.00654474,0.993616,2.52119
33,19,0.911601,0.0122606,0.68388,1.81693
33,20,-0.0559728,0.0117759,0.685089,1.52617
33,21,-0.218832,0.00674884,0.540412,0.639856
33,22,-0.24213,0.0037029,0.620298,0.673269
34,0,-0.0384698,0.00405116,0.531964,0.565803
34,1,-0.0377736,0.00154458,0.488746,0.528544
34,2,-0.499954,0.00132247,0.505178,0.620255
34,3,-0.29377,0.00152256,0.743656,1.27727
34,4,-0.715115,0.000760644,1.03712,2.23042
34,5,-0.0364705,0.00101828,1.26605,2.7726
34,6,-0.232937,0.00477305,1.01235,2.03785
34,7,0.011754,0.00554298,0.70249,1.2796
34,8,-0.0380963,0.0026164,0.907647,1.67689
34,9,0.175688,0.003528,0.865809,1.64303
