x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
0,0,4.15581,7.09E-06,2.74474,5.11725
4,43,-0.365311,0.0116593,2.23819,5.09886
20,43,-0.201334,0.00231925,2.10462,5.07346
19,43,-0.510765,0.00201313,2.2735,5.04838
22,0,5.24863,7.57E-06,2.70035,5.02421
13,101,-0.0371697,0.000413019,2.32568,5.01958
7,42,-0.00956494,0.00639907,2.27476,5.01939
3,54,-0.481911,0.00018158,2.2628,5.00231
19,36,-0.0226633,0.000706219,2.43327,5.0019
0,50,-0.280377,0.000239201,2.14828,4.99821
3,68,0.0886142,0.000228372,2.3129,4.99201
1,59,-0.0582797,0.000147192,2.27035,4.98727
21,44,-0.292361,0.00186138,2.17394,4.9654
19,49,-0.187511,0.00128301,1.92873,4.96201
19,41,-0.294609,0.00204274,2.14615,4.94149
22,58,-0.391851,0.000314461,2.02804,4.9366
6,54,-0.0846862,0.00145617,2.14688,4.92666
3,62,-0.561852,0.000200024,2.13291,4.92141
12,94,-0.139342,0.00101879,2.33547,4.9162
7,48,0.257083,0.00250563,2.13019,4.91287
20,66,-0.271412,9.60E-05,2.1074,4.90942
20,47,-0.120061,0.00079121,2.1649,4.89004
6,78,-0.463001,0.000156773,2.2158,4.88876
6,52,0.0604064,0.00111626,2.11791,4.88582
16,99,-0.299411,0.000477218,2.25819,4.88502
2,49,-0.0181673,0.000253878,2.22033,4.88126
18,36,-0.0614055,0.000507139,2.33003,4.88073
6,86,-0.966205,0.00109434,2.09073,4.87926
1,52,-0.0260254,0.000292405,2.10219,4.86894
4,44,0.143432,0.00616247,2.0856,4.86853
8,0,6.50687,6.21E-06,2.60546,4.86618
21,65,0.0399498,7.05E-05,2.12795,4.86616
9,91,-0.672786,0.000636314,2.10904,4.85727
20,49,0.146026,0.00167829,2.04638,4.82365
19,19,-0.513789,0.000129821,2.60188,4.80957
1,49,-0.127024,0.000194586,2.14184,4.80888
7,65,-0.117003,0.000562762,2.16,4.80471
17,35,-0.211231,0.000289406,2.241,4.80417
